# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
30,1.172011e-13,5.343886e-16,5.000000e-14,6.666667e-14
30.409,1.156318e-13,5.343886e-16,4.932746e-14,6.576994e-14
30.8236,1.140836e-13,5.343886e-16,4.866396e-14,6.488528e-14
31.2439,1.125563e-13,5.343886e-16,4.800939e-14,6.401252e-14
31.6699,1.110495e-13,5.343886e-16,4.736363e-14,6.315150e-14
32.1017,1.095630e-13,5.343886e-16,4.672655e-14,6.230206e-14
32.5393,1.080965e-13,5.343886e-16,4.609803e-14,6.146405e-14
32.983,1.066497e-13,5.343886e-16,4.547798e-14,6.063730e-14
33.4327,1.052223e-13,5.343886e-16,4.486626e-14,5.982168e-14
33.8885,1.038142e-13,5.343886e-16,4.426277e-14,5.901703e-14
34.3506,1.024250e-13,5.343886e-16,4.366740e-14,5.822320e-14
34.8189,1.010545e-13,5.343886e-16,4.308004e-14,5.744005e-14
35.2936,9.970240e-14,5.343886e-16,4.250057e-14,5.666743e-14
35.7748,9.836850e-14,5.343886e-16,4.192891e-14,5.590521e-14
36.2626,9.705255e-14,5.343886e-16,4.136493e-14,5.515324e-14
36.757,9.575430e-14,5.343886e-16,4.080853e-14,5.441138e-14
37.2582,9.447352e-14,5.343886e-16,4.025963e-14,5.367950e-14
37.7662,9.320996e-14,5.343886e-16,3.971810e-14,5.295747e-14
38.2811,9.196339e-14,5.343886e-16,3.918386e-14,5.224515e-14
38.803,9.073360e-14,5.343886e-16,3.865680e-14,5.154240e-14
39.3321,8.952034e-14,5.343886e-16,3.813684e-14,5.084912e-14
39.8683,8.832341e-14,5.343886e-16,3.762386e-14,5.016515e-14
40.4119,8.714257e-14,5.343886e-16,3.711779e-14,4.949039e-14
40.9629,8.597762e-14,5.343886e-16,3.661853e-14,4.882470e-14
41.5214,8.482834e-14,5.343886e-16,3.612598e-14,4.816797e-14
42.0875,8.369451e-14,5.343886e-16,3.564005e-14,4.752007e-14
42.6613,8.257594e-14,5.343886e-16,3.516066e-14,4.688089e-14
43.243,8.147241e-14,5.343886e-16,3.468772e-14,4.625030e-14
43.8325,8.038373e-14,5.343886e-16,3.422115e-14,4.562819e-14
44.4302,7.930969e-14,5.343886e-16,3.376084e-14,4.501446e-14
45.0359,7.825009e-14,5.343886e-16,3.330673e-14,4.440897e-14
45.65,7.720475e-14,5.343886e-16,3.285873e-14,4.381164e-14
46.2724,7.617347e-14,5.343886e-16,3.241675e-14,4.322233e-14
46.9033,7.515606e-14,5.343886e-16,3.198072e-14,4.264096e-14
47.5428,7.415234e-14,5.343886e-16,3.155055e-14,4.206740e-14
48.191,7.316212e-14,5.343886e-16,3.112617e-14,4.150156e-14
48.848,7.218521e-14,5.343886e-16,3.070750e-14,4.094333e-14
49.514,7.122145e-14,5.343886e-16,3.029445e-14,4.039261e-14
50.1891,7.027065e-14,5.343886e-16,2.988697e-14,3.984929e-14
50.8734,6.933264e-14,5.343886e-16,2.948496e-14,3.931329e-14
51.567,6.840724e-14,5.343886e-16,2.908837e-14,3.878449e-14
52.2701,6.749430e-14,5.343886e-16,2.869710e-14,3.826281e-14
52.9827,6.659363e-14,5.343886e-16,2.831110e-14,3.774814e-14
53.7051,6.570508e-14,5.343886e-16,2.793030e-14,3.724039e-14
54.4374,6.482848e-14,5.343886e-16,2.755461e-14,3.673948e-14
55.1796,6.396367e-14,5.343886e-16,2.718398e-14,3.624530e-14
55.9319,6.311049e-14,5.343886e-16,2.681833e-14,3.575777e-14
56.6945,6.226879e-14,5.343886e-16,2.645760e-14,3.527680e-14
57.4675,6.143841e-14,5.343886e-16,2.610172e-14,3.480230e-14
58.251,6.061920e-14,5.343886e-16,2.575063e-14,3.433418e-14
59.0452,5.981101e-14,5.343886e-16,2.540427e-14,3.387236e-14
59.8502,5.901369e-14,5.343886e-16,2.506256e-14,3.341674e-14
60.6662,5.822710e-14,5.343886e-16,2.472545e-14,3.296726e-14
61.4934,5.745108e-14,5.343886e-16,2.439287e-14,3.252382e-14
62.3318,5.668550e-14,5.343886e-16,2.406476e-14,3.208635e-14
63.1816,5.593022e-14,5.343886e-16,2.374107e-14,3.165476e-14
64.0431,5.518510e-14,5.343886e-16,2.342174e-14,3.122898e-14
64.9163,5.445001e-14,5.343886e-16,2.310669e-14,3.080892e-14
65.8013,5.372480e-14,5.343886e-16,2.279589e-14,3.039452e-14
66.6985,5.300934e-14,5.343886e-16,2.248927e-14,2.998569e-14
67.6079,5.230351e-14,5.343886e-16,2.218677e-14,2.958235e-14
68.5297,5.160717e-14,5.343886e-16,2.188834e-14,2.918445e-14
69.464,5.092020e-14,5.343886e-16,2.159392e-14,2.879189e-14
70.4111,5.024247e-14,5.343886e-16,2.130346e-14,2.840462e-14
71.3711,4.957385e-14,5.343886e-16,2.101691e-14,2.802255e-14
72.3442,4.891423e-14,5.343886e-16,2.073422e-14,2.764562e-14
73.3305,4.826348e-14,5.343886e-16,2.045533e-14,2.727377e-14
74.3303,4.762149e-14,5.343886e-16,2.018018e-14,2.690691e-14
75.3438,4.698813e-14,5.343886e-16,1.990874e-14,2.654499e-14
76.371,4.636328e-14,5.343886e-16,1.964096e-14,2.618794e-14
77.4123,4.574685e-14,5.343886e-16,1.937677e-14,2.583569e-14
78.4677,4.513870e-14,5.343886e-16,1.911613e-14,2.548818e-14
79.5376,4.453874e-14,5.343886e-16,1.885901e-14,2.514534e-14
80.622,4.394684e-14,5.343886e-16,1.860534e-14,2.480712e-14
81.7212,4.336291e-14,5.343886e-16,1.835508e-14,2.447344e-14
82.8355,4.278683e-14,5.343886e-16,1.810819e-14,2.414425e-14
83.9649,4.221850e-14,5.343886e-16,1.786462e-14,2.381949e-14
85.1096,4.165781e-14,5.343886e-16,1.762432e-14,2.349910e-14
86.2701,4.110467e-14,5.343886e-16,1.738726e-14,2.318302e-14
87.4463,4.055896e-14,5.343886e-16,1.715339e-14,2.287119e-14
88.6385,4.002060e-14,5.343886e-16,1.692266e-14,2.256355e-14
89.8471,3.948948e-14,5.343886e-16,1.669504e-14,2.226005e-14
91.0721,3.896550e-14,5.343886e-16,1.647048e-14,2.196063e-14
92.3137,3.844857e-14,5.343886e-16,1.624893e-14,2.166525e-14
93.5724,3.793859e-14,5.343886e-16,1.603037e-14,2.137383e-14
94.8482,3.743547e-14,5.343886e-16,1.581475e-14,2.108633e-14
96.1413,3.693912e-14,5.343886e-16,1.560203e-14,2.080270e-14
97.4522,3.644945e-14,5.343886e-16,1.539217e-14,2.052289e-14
98.7808,3.596636e-14,5.343886e-16,1.518513e-14,2.024684e-14
100.128,3.548977e-14,5.343886e-16,1.498088e-14,1.997450e-14
101.493,3.501959e-14,5.343886e-16,1.477937e-14,1.970583e-14
102.877,3.455574e-14,5.343886e-16,1.458058e-14,1.944077e-14
104.279,3.409812e-14,5.343886e-16,1.438446e-14,1.917928e-14
105.701,3.364666e-14,5.343886e-16,1.419097e-14,1.892130e-14
107.142,3.320127e-14,5.343886e-16,1.400009e-14,1.866679e-14
108.603,3.276188e-14,5.343886e-16,1.381178e-14,1.841571e-14
110.084,3.232839e-14,5.343886e-16,1.362600e-14,1.816800e-14
111.585,3.190073e-14,5.343886e-16,1.344272e-14,1.792363e-14
113.106,3.147883e-14,5.343886e-16,1.326190e-14,1.768254e-14
114.648,3.106260e-14,5.343886e-16,1.308352e-14,1.744469e-14
116.211,3.065197e-14,5.343886e-16,1.290754e-14,1.721005e-14
117.796,3.024687e-14,5.343886e-16,1.273392e-14,1.697856e-14
119.402,2.984721e-14,5.343886e-16,1.256264e-14,1.675018e-14
121.03,2.945293e-14,5.343886e-16,1.239366e-14,1.652488e-14
122.68,2.906395e-14,5.343886e-16,1.222695e-14,1.630260e-14
124.352,2.868020e-14,5.343886e-16,1.206249e-14,1.608332e-14
126.048,2.830162e-14,5.343886e-16,1.190024e-14,1.586699e-14
