[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[gate] first capture: peak 0.352 FS (ref 0.335) pm=1765 d0=4600014
[cap 1] d0=4600014 pm=1765 slots=150000 (15s)
[packtest] |g|=0.1159 (ref 0.1155) resid=0.527 (band (0.3, 0.75)) (15s)
[cal clean] reloaded frozen calibration
[cap 2] d0=4099254 pm=2307 slots=879975 (69s)
[cap 3] d0=4086469 pm=1743 slots=879975 (80s)
[cap 4] d0=4110490 pm=1886 slots=879975 (90s)
[cap 5] d0=4089902 pm=1974 slots=879975 (101s)
[cap 6] d0=4106517 pm=1810 slots=879975 (111s)
[cap 7] d0=4119793 pm=1923 slots=879975 (122s)
[cap 8] d0=4123774 pm=1608 slots=879975 (132s)
[cap 9] d0=4112590 pm=1519 slots=879975 (143s)
[cap 10] d0=4114561 pm=1648 slots=879975 (154s)
[cap 11] d0=4091711 pm=1886 slots=879975 (164s)
[cap 12] d0=4105587 pm=3865 slots=879975 (174s)
[cap 13] d0=4081115 pm=3505 slots=879975 (185s)
[cap 14] d0=4111563 pm=1655 slots=879975 (195s)
[cap 15] d0=4108956 pm=1649 slots=879975 (206s)
[cap 16] d0=4131676 pm=1993 slots=879975 (216s)
[cap 17] d0=4088448 pm=2210 slots=879975 (227s)
[cap 18] d0=4100461 pm=1858 slots=879975 (237s)
[cap 19] d0=4127788 pm=1660 slots=879975 (248s)
[cap 20] d0=4130279 pm=1605 slots=879975 (258s)
[cap 21] d0=4082138 pm=1631 slots=879975 (268s)
[cap 22] d0=4107206 pm=2355 slots=879975 (279s)
[cap 23] d0=5642484 pm=2706 slots=336525 (308s)
[cap 24] d0=4128155 pm=2638 slots=880000 (357s)
[cap 25] d0=4095249 pm=2145 slots=880000 (368s)
[cap 26] d0=4109887 pm=1989 slots=880000 (378s)
[cap 27] d0=4094055 pm=2066 slots=880000 (388s)
[cap 28] d0=4124275 pm=1890 slots=880000 (399s)
[cap 29] d0=4091193 pm=2086 slots=880000 (409s)
[cap 30] d0=4094910 pm=2395 slots=880000 (419s)
[cap 31] d0=4121929 pm=2048 slots=880000 (429s)
[cap 32] d0=4097564 pm=2171 slots=880000 (440s)
[cap 33] d0=4127041 pm=2292 slots=880000 (450s)
[cap 34] d0=4109606 pm=2055 slots=880000 (460s)
[cap 35] d0=4086364 pm=2001 slots=880000 (470s)
[cap 36] d0=4092064 pm=1908 slots=880000 (481s)
[cap 37] d0=4123561 pm=2027 slots=880000 (491s)
[cap 38] d0=4132449 pm=2094 slots=880000 (501s)
[cap 39] d0=4083162 pm=2281 slots=880000 (511s)
[cap 40] d0=4108943 pm=2101 slots=880000 (521s)
[cap 41] d0=4102304 pm=2006 slots=880000 (532s)
[cap 42] d0=4124650 pm=2060 slots=880000 (542s)
[cap 43] d0=4136221 pm=2069 slots=880000 (552s)
[cap 44] d0=4137603 pm=1852 slots=880000 (562s)
[cap 45] d0=4117843 pm=2015 slots=880000 (573s)
[cap 46] d0=4123616 pm=2079 slots=880000 (583s)
[cap 47] d0=4107719 pm=1986 slots=880000 (593s)
[cap 48] d0=4100554 pm=2138 slots=880000 (603s)
[cap 49] d0=4101600 pm=2289 slots=880000 (613s)
