[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[gate] first capture: peak 0.392 FS (ref 0.335) pm=1783 d0=4621666
[cap 1] d0=4621666 pm=1783 slots=150000 (15s)
[packtest] |g|=0.1171 (ref 0.1155) resid=0.527 (band (0.3, 0.75)) (15s)
[cal clean] reloaded frozen calibration
[cap 2] d0=4077414 pm=2492 slots=879975 (63s)
[cap 3] d0=4135027 pm=5719 slots=879975 (73s)
[cap 4] d0=4113195 pm=3056 slots=879975 (84s)
[cap 5] d0=4120138 pm=1681 slots=879975 (94s)
[cap 6] d0=4088954 pm=1669 slots=879975 (104s)
[cap 7] d0=4133437 pm=1458 slots=879975 (114s)
[cap 8] d0=4123373 pm=1357 slots=879975 (125s)
[cap 9] d0=4114191 pm=1514 slots=879975 (135s)
[cap 10] d0=4121504 pm=1840 slots=879975 (145s)
[cap 11] d0=4076081 pm=2059 slots=879975 (156s)
[cap 12] d0=4091657 pm=1547 slots=879975 (166s)
[cap 13] d0=4094515 pm=1524 slots=879975 (176s)
[cap 14] d0=4114354 pm=1826 slots=879975 (186s)
[cap 15] d0=4094888 pm=1839 slots=879975 (196s)
[cap 16] d0=4113642 pm=3357 slots=879975 (207s)
[cap 17] d0=4113201 pm=2266 slots=879975 (217s)
[cap 18] d0=4106444 pm=1738 slots=879975 (227s)
[cap 19] d0=4130309 pm=1708 slots=879975 (238s)
[cap 20] d0=4126370 pm=1805 slots=879975 (248s)
[cap 21] d0=4111797 pm=1972 slots=879975 (258s)
[cap 22] d0=4103520 pm=1711 slots=879975 (268s)
[cap 23] d0=5417653 pm=2052 slots=336525 (297s)
[cap 24] d0=4109928 pm=2628 slots=880000 (346s)
[cap 25] d0=4128870 pm=1983 slots=880000 (356s)
[cap 26] d0=4113126 pm=1920 slots=880000 (366s)
[cap 27] d0=4109942 pm=2028 slots=880000 (377s)
[cap 28] d0=4110383 pm=1836 slots=880000 (387s)
[cap 29] d0=4098766 pm=2087 slots=880000 (397s)
[cap 30] d0=4120448 pm=2174 slots=880000 (407s)
[cap 31] d0=4090380 pm=2023 slots=880000 (417s)
[cap 32] d0=4102972 pm=2339 slots=880000 (428s)
[cap 33] d0=4122903 pm=2329 slots=880000 (438s)
[cap 34] d0=4116500 pm=2037 slots=880000 (448s)
[cap 35] d0=4094089 pm=2015 slots=880000 (458s)
[cap 36] d0=4105780 pm=2063 slots=880000 (468s)
[cap 37] d0=4124423 pm=2099 slots=880000 (479s)
[cap 38] d0=4087602 pm=2014 slots=880000 (489s)
[cap 39] d0=4088513 pm=2192 slots=880000 (499s)
[cap 40] d0=4120086 pm=2207 slots=880000 (509s)
[cap 41] d0=4126732 pm=2062 slots=880000 (520s)
[cap 42] d0=4095766 pm=1910 slots=880000 (530s)
[cap 43] d0=4104185 pm=2103 slots=880000 (540s)
[cap 44] d0=4116515 pm=1812 slots=880000 (550s)
[cap 45] d0=4084725 pm=2046 slots=880000 (560s)
[cap 46] d0=4104419 pm=2076 slots=880000 (571s)
[cap 47] d0=4106210 pm=1954 slots=880000 (581s)
[cap 48] d0=4092540 pm=2269 slots=880000 (591s)
[cap 49] d0=4096018 pm=2352 slots=880000 (601s)
[cap 50] d0=4083492 pm=2016 slots=880000 (612s)
[cap 51] d0=4123059 pm=2148 slots=880000 (622s)
[cap 52] d0=4122783 pm=2115 slots=880000 (632s)
[cap 53] d0=4093301 pm=2005 slots=880000 (642s)
[cap 54] d0=4113726 pm=1989 slots=880000 (652s)
[cap 55] d0=4119305 pm=2073 slots=880000 (663s)
[cap 56] d0=4104466 pm=2143 slots=880000 (673s)
[cap 57] d0=4094423 pm=2098 slots=880000 (683s)
[cap 58] d0=4090353 pm=1904 slots=880000 (693s)
[cap 59] d0=4130608 pm=2090 slots=880000 (703s)
