[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[gate] first capture: peak 0.332 FS (ref 0.335) pm=1752 d0=4629893
[cap 1] d0=4629893 pm=1752 slots=150000 (15s)
[packtest] |g|=0.1173 (ref 0.1155) resid=0.527 (band (0.3, 0.75)) (15s)
[cal twin] reloaded frozen calibration
[cap 2] d0=4090344 pm=2014 slots=879975 (65s)
[cap 3] d0=4083843 pm=1510 slots=879975 (75s)
[cap 4] d0=4125103 pm=1923 slots=879975 (85s)
[cap 5] d0=4080318 pm=1772 slots=879975 (95s)
[cap 6] d0=4094109 pm=1628 slots=879975 (106s)
[cap 7] d0=4078193 pm=1605 slots=879975 (116s)
[cap 8] d0=4119926 pm=1306 slots=879975 (126s)
[cap 9] d0=4113233 pm=1389 slots=879975 (136s)
[cap 10] d0=4081735 pm=1407 slots=879975 (147s)
[cap 11] d0=4125742 pm=1580 slots=879975 (157s)
[cap 12] d0=4093921 pm=1854 slots=879975 (167s)
[cap 13] d0=4122597 pm=1919 slots=879975 (177s)
[cap 14] d0=4095536 pm=1550 slots=879975 (188s)
[cap 15] d0=4115051 pm=1400 slots=879975 (198s)
[cap 16] d0=4087070 pm=1413 slots=879975 (208s)
[cap 17] d0=4124676 pm=1478 slots=879975 (218s)
[cap 18] d0=4132134 pm=1633 slots=879975 (229s)
[cap 19] d0=4109642 pm=1769 slots=879975 (239s)
[cap 20] d0=4120347 pm=1445 slots=879975 (249s)
[cap 21] d0=4081312 pm=1430 slots=879975 (259s)
[cap 22] d0=4121902 pm=2236 slots=879975 (269s)
[cap 23] d0=5084842 pm=2534 slots=336525 (299s)
[cap 24] d0=4094433 pm=2542 slots=880000 (348s)
[cap 25] d0=4108844 pm=2385 slots=880000 (358s)
[cap 26] d0=4101860 pm=2004 slots=880000 (368s)
[cap 27] d0=4087815 pm=1883 slots=880000 (379s)
[cap 28] d0=4087814 pm=1882 slots=880000 (389s)
